,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id,Duration_ans,Duration_acc_ans
136,2017-12-04 16:45:07,2017-12-04 16:45:07,"[(47638058, '2017-12-04 16:45:07')]",47635918,2017-12-04 14:46:51,1974,1,0,0,47638058.0,1.971111111111111,1.971111111111111
137,,,[],63063470,2020-07-23 21:35:53,452,0,2,2,,,
138,2020-02-03 06:05:57,,"[(60033893, '2020-02-03 06:05:57')]",60031174,2020-02-02 22:23:30,67,1,0,1,,7.7075,
139,2019-11-16 11:10:49,,"[(58890075, '2019-11-16 11:10:49')]",52731782,2018-10-10 02:32:56,6033,1,2,1,,9656.631388888889,
140,,,[],62148106,2020-06-02 08:42:40,139,0,0,0,,,
141,2020-04-16 15:14:30,,"[(61253782, '2020-04-16 15:14:30')]",61250268,2020-04-16 12:28:37,468,1,0,0,,2.7647222222222223,
142,2018-07-27 04:51:25,2018-07-27 04:51:25,"[(51550949, '2018-07-27 04:51:25')]",51531007,2018-07-26 04:27:59,169,1,0,7,51550949.0,24.390555555555554,24.390555555555554
143,2020-11-29 22:56:17,2020-11-29 22:56:17,"[(65066107, '2020-11-29 22:56:17')]",65066059,2020-11-29 22:48:32,43,1,0,1,65066107.0,0.12916666666666668,0.12916666666666668
144,2020-10-28 10:14:43,2020-10-28 10:14:43,"[(64570718, '2020-10-28 10:14:43')]",64554137,2020-10-27 12:07:48,57,1,2,0,64570718.0,22.115277777777777,22.115277777777777
145,,,[],64618079,2020-10-31 03:22:34,87,0,0,0,,,
146,2019-11-29 11:20:00,,"[(59103822, '2019-11-29 11:20:00')]",57192111,2019-07-24 22:37:18,196,1,0,0,,3060.7116666666666,
147,2020-09-24 10:19:04,2020-09-24 10:19:04,"[(64044374, '2020-09-24 10:19:04')]",64044200,2020-09-24 10:08:21,111,1,0,1,64044374.0,0.1786111111111111,0.1786111111111111
148,,,[],58506051,2019-10-22 14:01:34,487,0,2,1,,,
149,,,[],64944278,2020-11-21 14:39:35,66,0,2,0,,,
150,,,[],61863504,2020-05-18 06:20:21,687,0,4,0,,,
151,,,[],55519662,2019-04-04 15:24:34,455,0,1,2,,,
152,2020-05-21 17:56:17,,"[(62168780, '2020-06-03 08:53:48'), (64097921, '2020-09-28 07:44:34'), (61940796, '2020-05-21 17:56:17')]",60682622,2020-03-14 12:17:22,1450,3,1,2,,1637.6486111111112,
153,,,[],60692872,2020-03-15 12:27:36,37,0,0,0,,,
154,2017-10-11 18:06:03,2017-10-11 18:06:03,"[(46694833, '2017-10-11 18:06:03')]",46625967,2017-10-07 23:07:54,255,1,0,1,46694833.0,90.96916666666667,90.96916666666667
